9.08.2011	13:22:45	46	TOMB	16:42:45
9.08.2011	13:22:52	46	TOMB	16:42:52
9.08.2011	13:22:59	46	TOMB	16:42:59
9.08.2011	13:23:06	46	TOMB	16:43:06
9.08.2011	13:23:13	48	TOMB	16:43:13
9.08.2011	13:23:19	47	TOMB	16:43:19
9.08.2011	13:23:26	47	TOMB	16:43:26
9.08.2011	13:23:33	49	TOMB	16:43:33
9.08.2011	13:23:40	47	TOMB	16:43:40
9.08.2011	13:23:47	46	TOMB	16:43:47
9.08.2011	13:23:54	48	TOMB	16:43:54
9.08.2011	13:24:00	47	TOMB	16:44:00
9.08.2011	13:24:07	47	TOMB	16:44:07
9.08.2011	13:24:14	49	TOMB	16:44:14
9.08.2011	13:24:21	48	TOMB	16:44:21
9.08.2011	13:24:28	49	TOMB	16:44:28
9.08.2011	13:24:35	46	TOMB	16:44:35
9.08.2011	13:24:42	46	TOMB	16:44:42
9.08.2011	13:24:48	48	TOMB	16:44:48
9.08.2011	13:24:55	47	TOMB	16:44:55
9.08.2011	13:25:02	48	TOMB	16:45:02
9.08.2011	13:25:09	48	TOMB	16:45:09
9.08.2011	13:25:16	47	TOMB	16:45:16
9.08.2011	13:25:23	47	TOMB	16:45:23
9.08.2011	13:25:30	47	TOMB	16:45:30
9.08.2011	13:25:36	46	TOMB	16:45:36
9.08.2011	13:25:43	46	TOMB	16:45:43
9.08.2011	13:25:50	49	TOMB	16:45:50
9.08.2011	13:25:57	47	TOMB	16:45:57
9.08.2011	13:26:04	47	TOMB	16:46:04
9.08.2011	13:26:11	47	TOMB	16:46:11
9.08.2011	13:26:18	47	TOMB	16:46:18
9.08.2011	13:26:25	46	TOMB	16:46:25
9.08.2011	13:26:31	46	TOMB	16:46:31
9.08.2011	13:26:38	46	TOMB	16:46:38
9.08.2011	13:26:45	46	TOMB	16:46:45
9.08.2011	13:26:52	47	TOMB	16:46:52
9.08.2011	13:26:59	45	TOMB	16:46:59
9.08.2011	13:27:06	47	TOMB	16:47:06
9.08.2011	13:27:12	47	TOMB	16:47:12
9.08.2011	13:27:19	47	TOMB	16:47:19
9.08.2011	13:27:26	47	TOMB	16:47:26
9.08.2011	13:27:33	47	TOMB	16:47:33
9.08.2011	13:27:40	46	TOMB	16:47:40
9.08.2011	13:27:47	47	TOMB	16:47:47
9.08.2011	13:27:53	45	TOMB	16:47:53
9.08.2011	13:28:00	47	TOMB	16:48:00
9.08.2011	13:28:07	46	TOMB	16:48:07
9.08.2011	13:28:14	44	TOMB	16:48:14
9.08.2011	13:28:21	44	TOMB	16:48:21
9.08.2011	13:28:28	47	TOMB	16:48:28
9.08.2011	13:28:35	45	TOMB	16:48:35
9.08.2011	13:28:41	46	TOMB	16:48:41
9.08.2011	13:28:48	47	TOMB	16:48:48
9.08.2011	13:28:55	47	TOMB	16:48:55
9.08.2011	13:29:02	47	TOMB	16:49:02
9.08.2011	13:29:09	47	TOMB	16:49:09
9.08.2011	13:29:16	46	ROAD	16:49:16
9.08.2011	13:29:23	46	ROAD	16:49:23
9.08.2011	13:29:30	47	ROAD	16:49:30
9.08.2011	13:29:36	46	ROAD	16:49:36
9.08.2011	13:29:43	47	ROAD	16:49:43
9.08.2011	13:29:50	47	ROAD	16:49:50
9.08.2011	13:29:57	47	ROAD	16:49:57
9.08.2011	13:30:04	47	ROAD	16:50:04
9.08.2011	13:30:11	49	ROAD	16:50:11
9.08.2011	13:30:18	47	ROAD	16:50:18
9.08.2011	13:30:24	47	ROAD	16:50:24
9.08.2011	13:30:31	47	ROAD	16:50:31
9.08.2011	13:30:38	47	ROAD	16:50:38
9.08.2011	13:30:45	47	ROAD	16:50:45
9.08.2011	13:30:52	47	ROAD	16:50:52
9.08.2011	13:30:59	46	ROAD	16:50:59
9.08.2011	13:31:06	47	ROAD	16:51:06
9.08.2011	13:31:12	46	ROAD	16:51:12
9.08.2011	13:31:19	45	ROAD	16:51:19
9.08.2011	13:31:26	47	ROAD	16:51:26
9.08.2011	13:31:33	46	ROAD	16:51:33
9.08.2011	13:31:40	47	ROAD	16:51:40
9.08.2011	13:31:47	48	ROAD	16:51:47
